case_id,ET_LWdice,ET_LWhd95,NET_LWdice,NET_LWhd95,CC_LWdice,CC_LWhd95,ED_LWdice,ED_LWhd95,TC_LWdice,TC_LWhd95,WT_LWdice,WT_LWhd95
BraTS-PED-00183-000,1.0,0.0,0.9248,3.0,1.0,0.0,1.0,0.0,0.9248,3.0,0.9248,3.0
BraTS-PED-00184-000,0.0,374.0,0.9151,9.0,0.0,374.0,1.0,0.0,0.9388,2.4495,0.9388,2.4495
BraTS-PED-00185-000,1.0,0.0,0.7443,14.3527,1.0,0.0,1.0,0.0,0.7443,14.3527,0.7443,14.3527
BraTS-PED-00186-000,0.0,374.0,0.4872,187.5,1.0,0.0,0.0,374.0,0.4874,187.5,0.964,1.0
BraTS-PED-00187-000,1.0,0.0,0.9433,2.2361,1.0,0.0,1.0,0.0,0.9433,2.2361,0.9433,2.2361
BraTS-PED-00188-000,0.0,374.0,0.0094,286.909,1.0,0.0,1.0,0.0,0.0082,288.1632,0.0082,288.1632
BraTS-PED-00189-000,0.9651,1.0,0.9306,1.4142,1.0,0.0,1.0,0.0,0.9542,1.4142,0.9542,1.4142
BraTS-PED-00190-000,0.9411,1.0,0.9698,1.0,1.0,0.0,1.0,0.0,0.9777,1.0,0.9777,1.0
BraTS-PED-00191-000,0.7507,6.7082,0.9392,2.2361,0.0,374.0,1.0,0.0,0.9751,2.0,0.9751,2.0
BraTS-PED-00192-000,1.0,0.0,0.9612,1.4142,1.0,0.0,1.0,0.0,0.9612,1.4142,0.9612,1.4142
BraTS-PED-00193-000,0.9091,1.0,0.9618,1.4142,1.0,0.0,1.0,0.0,0.9664,1.4142,0.9664,1.4142
BraTS-PED-00194-000,1.0,0.0,0.7708,10.2713,1.0,0.0,1.0,0.0,0.7708,10.2713,0.7708,10.2713
BraTS-PED-00195-000,0.942,1.0,0.9239,1.7321,0.0,374.0,1.0,0.0,0.9588,1.4142,0.9588,1.4142
BraTS-PED-00196-000,0.8839,1.0,0.9531,1.4142,1.0,0.0,1.0,0.0,0.9691,1.4142,0.9691,1.4142
BraTS-PED-00197-000,1.0,0.0,0.9694,1.4142,1.0,0.0,1.0,0.0,0.9694,1.4142,0.9694,1.4142
BraTS-PED-00198-000,0.8387,2.2361,0.9492,1.4142,0.0,374.0,1.0,0.0,0.9629,1.4142,0.9629,1.4142
BraTS-PED-00199-000,0.181,8.0832,0.9496,3.1623,1.0,0.0,1.0,0.0,0.9722,1.0,0.9722,1.0
BraTS-PED-00200-000,0.0,374.0,0.7914,6.4031,1.0,0.0,1.0,0.0,0.8255,4.3589,0.8255,4.3589
BraTS-PED-00201-000,0.9286,1.0,0.9172,2.2361,1.0,0.0,1.0,0.0,0.9395,3.0,0.9395,3.0
BraTS-PED-00202-000,1.0,0.0,0.9082,4.5826,1.0,0.0,1.0,0.0,0.9082,4.5826,0.9082,4.5826
BraTS-PED-00203-000,0.0,374.0,0.9311,3.3166,1.0,0.0,1.0,0.0,0.939,2.4495,0.939,2.4495
BraTS-PED-00204-000,1.0,0.0,0.9196,3.0,1.0,0.0,1.0,0.0,0.9196,3.0,0.9196,3.0
BraTS-PED-00205-000,0.0,374.0,0.9648,6.1644,1.0,0.0,1.0,0.0,0.9688,1.4142,0.9688,1.4142
BraTS-PED-00206-000,0.9164,1.4142,0.9638,1.0,0.0,374.0,1.0,0.0,0.9814,1.0,0.9814,1.0
BraTS-PED-00207-000,1.0,0.0,0.9691,1.4142,1.0,0.0,1.0,0.0,0.9691,1.4142,0.9691,1.4142
BraTS-PED-00208-000,0.9379,1.0,0.9436,1.7321,1.0,0.0,1.0,0.0,0.9505,2.2361,0.9505,2.2361
BraTS-PED-00209-000,1.0,0.0,0.3035,250.0787,1.0,0.0,1.0,0.0,0.3035,250.0787,0.3035,250.0787
BraTS-PED-00210-000,0.0,374.0,0.6433,5.3852,0.0,374.0,1.0,0.0,0.982,1.0,0.982,1.0
BraTS-PED-00211-000,0.8465,1.4142,0.9468,1.0,1.0,0.0,1.0,0.0,0.962,1.0,0.962,1.0
BraTS-PED-00212-000,1.0,0.0,0.9704,6.7082,0.0,374.0,1.0,0.0,0.9865,1.0,0.9865,1.0
BraTS-PED-00213-000,1.0,0.0,0.9817,1.0,1.0,0.0,1.0,0.0,0.9817,1.0,0.9817,1.0
BraTS-PED-00214-000,0.0,374.0,0.9778,1.4142,1.0,0.0,1.0,0.0,0.9797,1.0,0.9797,1.0
BraTS-PED-00215-000,0.0,374.0,0.979,1.0,1.0,0.0,1.0,0.0,0.9796,1.0,0.9796,1.0
BraTS-PED-00216-000,0.9023,1.4142,0.9539,1.4142,1.0,0.0,1.0,0.0,0.9587,1.4142,0.9587,1.4142
BraTS-PED-00217-000,0.8536,2.4495,0.9643,1.0,1.0,0.0,1.0,0.0,0.9715,1.0,0.9715,1.0
BraTS-PED-00219-000,0.0,374.0,0.9482,2.4495,0.0,374.0,1.0,0.0,0.9639,1.0,0.9639,1.0
BraTS-PED-00220-000,0.682,5.5892,0.8343,3.3166,1.0,0.0,1.0,0.0,0.948,2.4495,0.948,2.4495
BraTS-PED-00221-000,0.9367,1.0,0.9544,1.0,1.0,0.0,1.0,0.0,0.9618,1.4142,0.9618,1.4142
BraTS-PED-00222-000,1.0,0.0,0.9613,1.7321,1.0,0.0,1.0,0.0,0.9613,1.7321,0.9613,1.7321
BraTS-PED-00223-000,0.6383,10.2908,0.9538,1.4142,1.0,0.0,1.0,0.0,0.9584,1.0,0.9584,1.0
BraTS-PED-00224-000,0.4081,188.118,0.4836,187.7071,1.0,0.0,1.0,0.0,0.4868,187.5,0.4868,187.5
BraTS-PED-00225-000,1.0,0.0,0.8704,7.1414,1.0,0.0,1.0,0.0,0.8704,7.1414,0.8704,7.1414
BraTS-PED-00226-000,0.6892,1.618,0.9596,1.0,1.0,0.0,1.0,0.0,0.9682,1.0,0.9682,1.0
BraTS-PED-00227-000,0.0,374.0,0.9082,5.0,1.0,0.0,1.0,0.0,0.9278,2.0,0.9278,2.0
BraTS-PED-00228-000,0.91,1.4142,0.9373,1.4142,1.0,0.0,1.0,0.0,0.9486,1.4142,0.9486,1.4142
BraTS-PED-00229-000,1.0,0.0,0.9704,1.4142,0.0,374.0,1.0,0.0,0.9727,1.0,0.9727,1.0
BraTS-PED-00230-000,0.5527,3.0,0.9718,1.4142,1.0,0.0,1.0,0.0,0.9733,1.4142,0.9733,1.4142
BraTS-PED-00231-000,0.943,1.0,0.9677,1.0,1.0,0.0,1.0,0.0,0.9746,1.0,0.9746,1.0
BraTS-PED-00233-000,1.0,0.0,0.9853,1.0,1.0,0.0,1.0,0.0,0.9853,1.0,0.9853,1.0
BraTS-PED-00234-000,1.0,0.0,0.9736,1.7321,1.0,0.0,1.0,0.0,0.9736,1.7321,0.9736,1.7321
BraTS-PED-00235-000,0.9218,1.0,0.9807,1.0,1.0,0.0,1.0,0.0,0.9852,1.0,0.9852,1.0
BraTS-PED-00236-000,1.0,0.0,0.4782,187.7071,1.0,0.0,1.0,0.0,0.4782,187.7071,0.4782,187.7071
BraTS-PED-00237-000,0.8325,1.4142,0.9291,3.1623,0.0,374.0,1.0,0.0,0.9419,3.3166,0.9419,3.3166
BraTS-PED-00238-000,0.0,374.0,0.9144,4.5826,1.0,0.0,0.0,374.0,0.9178,4.4721,0.9821,1.0
BraTS-PED-00239-000,0.4381,188.2247,0.9103,3.1623,0.0,374.0,0.0,374.0,0.96,2.8284,0.9703,2.0
BraTS-PED-00240-000,1.0,0.0,0.6151,11.9164,1.0,0.0,1.0,0.0,0.6151,11.9164,0.6151,11.9164
BraTS-PED-00241-000,1.0,0.0,0.9694,6.4031,0.0,374.0,1.0,0.0,0.9796,1.0,0.9796,1.0
BraTS-PED-00242-000,0.9113,1.4142,0.9265,2.2361,0.0,374.0,1.0,0.0,0.9378,2.2361,0.9378,2.2361
BraTS-PED-00243-000,0.4654,6.5229,0.9429,3.6056,1.0,0.0,1.0,0.0,0.9585,2.0,0.9585,2.0
BraTS-PED-00244-000,0.8959,11.0454,0.9648,1.0,1.0,0.0,1.0,0.0,0.9847,1.0,0.9847,1.0
BraTS-PED-00245-000,0.5985,14.8661,0.9794,1.0,1.0,0.0,1.0,0.0,0.9834,1.0,0.9834,1.0
BraTS-PED-00246-000,0.0,374.0,0.8418,9.2195,1.0,0.0,0.0,374.0,0.9473,3.1623,0.9597,2.2361
BraTS-PED-00247-000,1.0,0.0,0.9601,1.0,1.0,0.0,1.0,0.0,0.9601,1.0,0.9601,1.0
BraTS-PED-00248-000,0.9289,1.0,0.4459,188.8708,0.0,374.0,1.0,0.0,0.978,1.0,0.978,1.0
BraTS-PED-00249-000,1.0,0.0,0.9874,1.0,1.0,0.0,1.0,0.0,0.9874,1.0,0.9874,1.0
BraTS-PED-00251-000,1.0,0.0,0.8512,5.099,1.0,0.0,1.0,0.0,0.8512,5.099,0.8512,5.099
BraTS-PED-00252-000,0.0,374.0,0.9554,2.2361,1.0,0.0,1.0,0.0,0.9571,2.2361,0.9571,2.2361
BraTS-PED-00253-000,0.0,374.0,0.9538,2.8284,1.0,0.0,1.0,0.0,0.955,2.2361,0.955,2.2361
BraTS-PED-00254-000,0.9595,1.0,0.3042,250.5116,1.0,0.0,0.0,374.0,0.9268,4.0492,0.9525,2.0
BraTS-PED-00255-000,1.0,0.0,0.8236,12.4097,1.0,0.0,1.0,0.0,0.8236,12.4097,0.8236,12.4097
BraTS-PED-00256-000,0.8776,1.4142,0.9642,1.4142,0.0,374.0,1.0,0.0,0.9764,1.4142,0.9764,1.4142
BraTS-PED-00257-000,0.9274,1.7321,0.4295,187.7071,0.1313,251.7828,1.0,0.0,0.9598,1.0,0.9598,1.0
BraTS-PED-00258-000,0.9224,3.6396,0.9741,1.4142,0.0,374.0,1.0,0.0,0.9821,1.4142,0.9821,1.4142
BraTS-PED-00259-000,1.0,0.0,0.9097,2.8284,1.0,0.0,1.0,0.0,0.9097,2.8284,0.9097,2.8284
BraTS-PED-00260-000,1.0,0.0,0.9738,1.4142,0.0,374.0,1.0,0.0,0.975,1.0,0.975,1.0
BraTS-PED-00261-000,0.856,2.0,0.9627,2.2361,0.0,374.0,1.0,0.0,0.9683,1.4142,0.9683,1.4142
BraTS-PED-00262-000,0.8099,4.3589,0.8425,2.2361,1.0,0.0,1.0,0.0,0.9121,3.0,0.9121,3.0
BraTS-PED-00263-000,1.0,0.0,0.9692,2.0,1.0,0.0,0.0,374.0,0.9692,2.0,0.9793,1.0
BraTS-PED-00264-000,0.6847,1.0,0.9637,1.4142,1.0,0.0,1.0,0.0,0.9644,1.4142,0.9644,1.4142
BraTS-PED-00265-000,0.022,10.0499,0.913,4.753,1.0,0.0,1.0,0.0,0.9287,2.8284,0.9287,2.8284
BraTS-PED-00500-000,1.0,0.0,0.8577,3.3166,1.0,0.0,1.0,0.0,0.8577,3.3166,0.8577,3.3166
BraTS-PED-00500-100,0.0,374.0,0.8974,3.4641,1.0,0.0,1.0,0.0,0.9089,1.7321,0.9089,1.7321
BraTS-PED-00500-101,0.0,374.0,0.88,2.4495,1.0,0.0,1.0,0.0,0.884,2.4495,0.884,2.4495
BraTS-PED-00500-103,0.0,374.0,0.5054,11.8743,1.0,0.0,0.0,374.0,0.537,12.083,0.5565,12.083
BraTS-PED-00501-000,1.0,0.0,0.9402,2.0,1.0,0.0,1.0,0.0,0.9402,2.0,0.9402,2.0
BraTS-PED-00501-100,1.0,0.0,0.3789,190.7417,1.0,0.0,1.0,0.0,0.3797,190.7417,0.3804,190.7417
BraTS-PED-00501-101,0.8452,2.2361,0.9163,2.2361,0.0,374.0,1.0,0.0,0.95,2.8284,0.9499,2.8284
BraTS-PED-00502-000,0.7423,2.2361,0.9412,2.8284,0.0,374.0,1.0,0.0,0.9683,4.3589,0.9683,4.3589
BraTS-PED-00502-100,0.8536,1.4142,0.7709,4.4721,0.0,374.0,1.0,0.0,0.8854,2.8284,0.8854,2.8284
BraTS-PED-00502-101,0.8762,4.1231,0.0444,350.9894,0.4173,190.2016,0.2338,194.433,0.8394,6.1644,0.9013,3.0
BraTS-PED-00502-102,0.6681,6.4031,0.515,10.0499,0.0,374.0,1.0,0.0,0.8672,6.4031,0.8672,6.4031
BraTS-PED-00502-103,0.355,189.8284,0.2639,189.6926,0.023,229.0697,1.0,0.0,0.8735,6.4807,0.8735,6.4807
BraTS-PED-00503-000,1.0,0.0,0.9641,1.4142,1.0,0.0,1.0,0.0,0.9641,1.4142,0.9641,1.4142
BraTS-PED-00503-100,0.9469,1.0,0.7837,7.2111,1.0,0.0,1.0,0.0,0.8171,8.6023,0.8171,8.6023
BraTS-PED-00503-101,0.0,374.0,0.8644,7.874,1.0,0.0,1.0,0.0,0.9221,5.9161,0.9221,5.9161
BraTS-PED-00504-000,0.9465,1.0,0.968,1.0,0.0,374.0,1.0,0.0,0.9882,1.0,0.9883,1.0
BraTS-PED-00504-100,0.908,1.0,0.884,2.8284,0.0,374.0,1.0,0.0,0.9724,1.4142,0.9724,1.4142
BraTS-PED-00504-101,0.9509,1.0,0.4374,188.5811,0.0,374.0,0.9284,1.4142,0.4893,187.5,0.9787,1.0
,,,,,,,,,,,,
MEAN,0.6516,87.0335,0.7073,54.0898,0.6571,111.0954,0.7922,64.7234,0.797,33.1835,0.8344,23.5785
